"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA.nlogo"
"teste3"
"10/20/2023 11:08:58:449 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percC","percV","percA","tempo_descanso","penergH","energiaAlimento","nhienas","qenergia","penergL","nleao","[step]","count turtles","count leoes","count hienas"
"5","20","7","1","20","0.5","25","50","50","0.5","50","39","61","43","18"
"6","20","7","1","20","0.5","25","50","50","0.5","50","36","72","45","27"
"8","20","7","1","20","0.5","25","50","50","0.5","50","47","64","47","17"
"7","20","7","1","20","0.5","25","50","50","0.5","50","23","74","44","30"
"2","20","7","1","20","0.5","25","50","50","0.5","50","18","82","47","35"
"9","20","7","1","20","0.5","25","50","50","0.5","50","40","66","45","21"
"5","20","7","1","20","0.5","25","50","50","0.5","50","40","61","43","18"
"8","20","7","1","20","0.5","25","50","50","0.5","50","48","64","47","17"
"10","20","7","1","20","0.5","25","50","50","0.5","50","29","71","44","27"
"4","20","7","1","20","0.5","25","50","50","0.5","50","33","69","44","25"
"6","20","7","1","20","0.5","25","50","50","0.5","50","37","72","45","27"
"9","20","7","1","20","0.5","25","50","50","0.5","50","41","64","45","19"
"7","20","7","1","20","0.5","25","50","50","0.5","50","24","73","43","30"
"5","20","7","1","20","0.5","25","50","50","0.5","50","41","61","43","18"
"4","20","7","1","20","0.5","25","50","50","0.5","50","34","68","43","25"
"9","20","7","1","20","0.5","25","50","50","0.5","50","42","63","45","18"
"8","20","7","1","20","0.5","25","50","50","0.5","50","49","64","47","17"
"2","20","7","1","20","0.5","25","50","50","0.5","50","19","81","47","34"
"6","20","7","1","20","0.5","25","50","50","0.5","50","38","72","45","27"
"10","20","7","1","20","0.5","25","50","50","0.5","50","30","70","44","26"
"5","20","7","1","20","0.5","25","50","50","0.5","50","42","60","43","17"
"8","20","7","1","20","0.5","25","50","50","0.5","50","50","63","47","16"
"6","20","7","1","20","0.5","25","50","50","0.5","50","39","72","45","27"
"4","20","7","1","20","0.5","25","50","50","0.5","50","35","68","43","25"
"9","20","7","1","20","0.5","25","50","50","0.5","50","43","61","45","16"
"7","20","7","1","20","0.5","25","50","50","0.5","50","25","73","43","30"
"5","20","7","1","20","0.5","25","50","50","0.5","50","43","60","43","17"
"10","20","7","1","20","0.5","25","50","50","0.5","50","31","70","44","26"
"4","20","7","1","20","0.5","25","50","50","0.5","50","36","67","43","24"
"8","20","7","1","20","0.5","25","50","50","0.5","50","51","63","47","16"
"9","20","7","1","20","0.5","25","50","50","0.5","50","44","61","45","16"
"5","20","7","1","20","0.5","25","50","50","0.5","50","44","60","43","17"
"8","20","7","1","20","0.5","25","50","50","0.5","50","52","63","47","16"
"4","20","7","1","20","0.5","25","50","50","0.5","50","37","66","43","23"
"6","20","7","1","20","0.5","25","50","50","0.5","50","40","71","45","26"
"10","20","7","1","20","0.5","25","50","50","0.5","50","32","69","43","26"
"9","20","7","1","20","0.5","25","50","50","0.5","50","45","61","45","16"
"5","20","7","1","20","0.5","25","50","50","0.5","50","45","60","43","17"
"8","20","7","1","20","0.5","25","50","50","0.5","50","53","62","47","15"
"9","20","7","1","20","0.5","25","50","50","0.5","50","46","61","45","16"
"4","20","7","1","20","0.5","25","50","50","0.5","50","38","65","43","22"
"7","20","7","1","20","0.5","25","50","50","0.5","50","26","72","43","29"
"6","20","7","1","20","0.5","25","50","50","0.5","50","41","71","45","26"
"8","20","7","1","20","0.5","25","50","50","0.5","50","54","62","47","15"
"9","20","7","1","20","0.5","25","50","50","0.5","50","47","61","45","16"
"5","20","7","1","20","0.5","25","50","50","0.5","50","46","60","43","17"
"10","20","7","1","20","0.5","25","50","50","0.5","50","33","69","43","26"
"9","20","7","1","20","0.5","25","50","50","0.5","50","48","60","45","15"
"4","20","7","1","20","0.5","25","50","50","0.5","50","39","65","43","22"
"8","20","7","1","20","0.5","25","50","50","0.5","50","55","62","47","15"
"6","20","7","1","20","0.5","25","50","50","0.5","50","42","70","45","25"
"5","20","7","1","20","0.5","25","50","50","0.5","50","47","60","43","17"
"10","20","7","1","20","0.5","25","50","50","0.5","50","34","68","43","25"
"9","20","7","1","20","0.5","25","50","50","0.5","50","49","59","45","14"
"8","20","7","1","20","0.5","25","50","50","0.5","50","56","61","47","14"
"7","20","7","1","20","0.5","25","50","50","0.5","50","27","72","43","29"
"4","20","7","1","20","0.5","25","50","50","0.5","50","40","64","43","21"
"8","20","7","1","20","0.5","25","50","50","0.5","50","57","61","47","14"
"9","20","7","1","20","0.5","25","50","50","0.5","50","50","59","45","14"
"6","20","7","1","20","0.5","25","50","50","0.5","50","43","70","45","25"
"5","20","7","1","20","0.5","25","50","50","0.5","50","48","60","43","17"
"7","20","7","1","20","0.5","25","50","50","0.5","50","28","72","43","29"
"10","20","7","1","20","0.5","25","50","50","0.5","50","35","67","42","25"
"8","20","7","1","20","0.5","25","50","50","0.5","50","58","61","47","14"
"9","20","7","1","20","0.5","25","50","50","0.5","50","51","59","45","14"
