"BehaviorSpace results (NetLogo 6.3.0)"
"trabalhoIAA - Cópia.nlogo"
"teste7"
"10/22/2023 16:44:07:731 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percV","show-energy?","percA","energiaAlimento","penergH","reproducao_leoes","reproducao_hienas","nleao","percC","reproducao?","tempo_descanso","nhienas","qenergia","penergL","[step]","count turtles","count hienas","count leoes"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","16","435","192","243"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","15","456","225","231"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","17","474","253","221"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","17","539","272","267"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","14","396","218","178"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","15","426","201","225"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","14","450","223","227"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","15","411","197","214"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","15","466","167","299"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","17","436","194","242"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","18","555","287","268"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","16","474","235","239"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","18","491","271","220"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","16","432","211","221"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","15","406","222","184"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","16","492","165","327"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","16","447","216","231"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","15","476","243","233"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","19","510","283","227"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","18","452","207","245"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","17","492","247","245"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","19","583","300","283"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","17","463","227","236"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","16","430","240","190"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","16","491","263","228"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","19","474","218","256"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","17","517","173","344"
"1","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","2","229","104","125"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","17","466","225","241"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","18","508","257","251"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","20","534","301","233"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","18","493","238","255"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","17","501","269","232"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","20","610","310","300"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","17","462","267","195"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","18","551","182","369"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","20","508","230","278"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","21","561","318","243"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","18","487","233","254"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","19","496","240","256"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","19","526","261","265"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","18","477","277","200"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","21","644","335","309"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","19","586","179","407"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","18","513","287","226"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","21","523","234","289"
"1","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","3","239","103","136"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","19","514","246","268"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","20","520","256","264"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","20","550","281","269"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","22","592","341","251"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","19","532","302","230"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","22","679","353","326"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","19","509","306","203"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","20","542","253","289"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","21","538","268","270"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","20","632","195","437"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","22","551","247","304"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","20","565","326","239"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","21","573","300","273"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","23","632","367","265"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","23","716","381","335"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","20","525","319","206"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","22","549","276","273"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","24","677","395","282"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","21","553","262","291"
"3","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","21","594","350","244"
"6","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","23","572","250","322"
"5","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","21","668","202","466"
"8","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","24","744","401","343"
"10","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","22","586","314","272"
"7","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","21","527","333","194"
"9","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","23","576","299","277"
"4","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","25","705","418","287"
"2","5","true","4","50","0.5","10","10","100","10","true","50","100","100","0.5","22","562","266","296"
